iter	Passed	Remaining
911	32727	3157
912	32762	3121
913	32798	3086
914	32833	3050
915	32868	3014
916	32908	2978
917	32942	2942
918	32975	2906
919	33008	2870
920	33044	2834
921	33078	2798
922	33111	2762
923	33144	2726
924	33178	2690
925	33212	2654
926	33245	2618
927	33279	2582
928	33315	2546
929	33350	2510
930	33384	2474
931	33418	2438
932	33452	2402
933	33485	2366
934	33518	2330
935	33552	2294
936	33585	2258
937	33619	2222
938	33653	2186
939	33686	2150
940	33719	2114
941	33754	2078
942	33786	2042
943	33819	2006
944	33852	1970
945	33886	1934
946	33919	1898
947	33951	1862
948	33984	1826
949	34016	1790
950	34052	1754
951	34087	1718
952	34121	1682
953	34154	1646
954	34188	1610
955	34220	1575
956	34252	1539
957	34288	1503
958	34339	1468
959	34373	1432
960	34407	1396
961	34441	1360
962	34474	1324
963	34508	1288
964	34541	1252
965	34574	1216
966	34610	1181
967	34643	1145
968	34678	1109
969	34712	1073
970	34745	1037
971	34779	1001
972	34813	966
973	34847	930
974	34881	894
975	34914	858
976	34948	822
977	34988	787
978	35031	751
979	35065	715
980	35100	679
981	35134	644
982	35173	608
983	35218	572
984	35262	536
985	35296	501
986	35329	465
987	35364	429
988	35399	393
989	35435	357
990	35467	322
991	35502	286
992	35536	250
993	35569	214
994	35602	178
995	35636	143
996	35671	107
997	35704	71
998	35739	35
999	35773	0
